scenario,sample_size,noise_level,method,power
heteroscedastic,100,0.6,ccc,0.063
heteroscedastic,100,0.6,pearson,0.021
heteroscedastic,100,0.6,spearman,0.036
heteroscedastic,100,0.8,ccc,0.049
heteroscedastic,100,0.8,pearson,0.032
heteroscedastic,100,0.8,spearman,0.045
heteroscedastic,100,1.0,ccc,0.047
heteroscedastic,100,1.0,pearson,0.059
heteroscedastic,100,1.0,spearman,0.057
heteroscedastic,500,0.0,ccc,1.0
heteroscedastic,500,0.0,pearson,0.0
heteroscedastic,500,0.0,spearman,0.0
heteroscedastic,500,0.2,ccc,0.734
heteroscedastic,500,0.2,pearson,0.001
heteroscedastic,500,0.2,spearman,0.013
heteroscedastic,500,0.4,ccc,0.293
heteroscedastic,500,0.4,pearson,0.006
heteroscedastic,500,0.4,spearman,0.021
heteroscedastic,500,0.6,ccc,0.1
heteroscedastic,500,0.6,pearson,0.023
heteroscedastic,500,0.6,spearman,0.042
heteroscedastic,500,0.8,ccc,0.055
heteroscedastic,500,0.8,pearson,0.038
heteroscedastic,500,0.8,spearman,0.05
heteroscedastic,500,1.0,ccc,0.043
heteroscedastic,500,1.0,pearson,0.062
heteroscedastic,500,1.0,spearman,0.062
